연월,CCSI,연월_dt,총액_lag_1,CCSI_lag_1,총액_lag_2,CCSI_lag_2,총액_lag_3,CCSI_lag_3,총액_lag_12,CCSI_lag_12,총액_roll_mean_6,총액_roll_std_6,CCSI_roll_mean_6,CCSI_roll_std_6,총액_roll_max_6,총액_roll_min_6,총액_diff_1,CCSI_diff_1,총액_diff_12,CCSI_diff_12,총액_slope_3,CCSI_slope_3,month
202407,103.6,2024-07-01,497725842347.9,100.9,530578526598.0,98.4,512224803341.1,100.7,519741298794.3,103.4,509606767839.68335,20585261585.72953,101.03333333333335,1.7037214169770531,531415775598.0,477138231171.4,10831585633.799988,2.6999999999999886,-11183870812.599976,0.19999999999998863,-11010549308.149994,2.5999999999999943,7
202408,100.8,2024-08-01,508557427981.7,103.6,497725842347.9,100.9,530578526598.0,98.4,525986541677.7,103.3,518126561884.98334,13977616002.751595,100.85000000000001,1.6501515081954248,531415775598.0,497725842347.9,19699567461.5,-2.799999999999997,2270453765.5,-2.5,15265576547.649994,-0.050000000000004256,8
202409,100.0,2024-09-01,528256995443.2,100.8,508557427981.7,103.6,497725842347.9,100.9,532754812690.2,99.8,515458213240.06665,12368898216.810722,100.73333333333333,1.687206764645728,530578526598.0,497725842347.9,-12851311714.700012,-0.7999999999999972,-17349128961.700012,0.20000000000000284,3424127873.3999934,-1.799999999999997,9
202410,101.8,2024-10-01,515405683728.5,100.0,528256995443.2,100.8,508557427981.7,103.6,530957233413.8,98.2,518026805557.26666,13139364279.525475,100.91666666666667,1.7417424225947693,530578526598.0,497725842347.9,12230673515.799988,1.7999999999999972,-3320876169.5,3.5999999999999943,-310319099.4500122,0.5,10
202411,100.7,2024-11-01,527636357244.3,101.8,515405683728.5,100.0,528256995443.2,100.8,514561951581.9,97.3,516009468139.0667,11674341933.463242,101.3,1.264911064067201,528256995443.2,497725842347.9,-9161855155.5,-1.0999999999999943,3912550506.8999634,3.4000000000000057,1534409180.149994,0.3500000000000014,11
202412,88.2,2024-12-01,518474502088.8,100.7,527636357244.3,101.8,515405683728.5,100.0,528296642927.4,99.7,522892203086.9333,10885920322.10133,99.18333333333334,5.52391769188013,539022252035.1,508557427981.7,20547749946.299988,-12.5,10725609107.699951,-11.5,5692947395.399994,-6.799999999999997,12
202501,91.2,2025-01-01,539022252035.1,88.2,518474502088.8,100.7,527636357244.3,101.8,497815204578.5,101.6,510446108943.21063,38420352979.10181,97.11666666666667,5.850954338111547,539022252035.1,433880863119.3637,-105141388915.73627,3.0,-63934341459.13629,-10.399999999999991,-42296819484.71814,-4.75,1
202502,95.2,2025-02-01,433880863119.3637,91.2,539022252035.1,88.2,518474502088.8,100.7,477138231171.4,101.9,490316656148.08636,55198157435.98282,96.18333333333334,5.586561255966533,539022252035.1,407480278672.4545,-26400584446.90918,4.0,-69657952498.9455,-6.700000000000003,-65770986681.32272,3.4999999999999996,2
202503,93.4,2025-03-01,407480278672.4545,95.2,433880863119.3637,91.2,539022252035.1,88.2,531415775598.0,100.7,481967125722.38184,54427646434.36764,95.08333333333333,5.328570790246327,539022252035.1,407480278672.4545,57828222501.81818,-1.7999999999999972,-66107274423.727295,-7.299999999999997,15713819027.454498,1.1000000000000014,3
202504,93.8,2025-04-01,465308501174.2727,93.4,407480278672.4545,95.2,433880863119.3637,91.2,512224803341.1,100.7,468657733868.04395,50659815340.665985,93.75,4.191300514160221,539022252035.1,407480278672.4545,-17528495056.0,0.3999999999999915,-64444797222.82727,-6.900000000000006,20149863722.90909,-0.7000000000000028,4
202505,101.8,2025-05-01,447780006118.2727,93.8,465308501174.2727,93.4,407480278672.4545,95.2,530578526598.0,98.4,461260794378.1833,44836651134.84625,93.93333333333334,4.563624290699924,539022252035.1,407480278672.4545,26312859031.36371,8.0,-56485661448.36359,3.3999999999999915,4392181987.681854,4.199999999999996,5
202506,108.7,2025-06-01,474092865149.6364,101.8,447780006118.2727,93.8,465308501174.2727,93.4,497725842347.9,100.9,446065102520.697,23661057324.000294,97.35000000000001,6.622310774948557,474092865149.6364,407480278672.4545,-26244764259.45459,6.900000000000006,-49877741457.7182,7.799999999999997,34047385.954559326,7.450000000000003,6
